"14/09 07:00",10.8 ,"14/09 15:00",20.4 ,"14/09",62.7,15.6 
"15/09 07:00",11.4 ,"15/09 15:00",19.7 ,"15/09",62.7,15.6 
"16/09 07:00",10.4 ,"16/09 15:00",19.4 ,"16/09",62.7,14.9 
"17/09 07:00",9.7 ,"17/09 15:00",19.8 ,"17/09",62.7,14.8 
"18/09 07:00",9.8 ,"18/09 15:00",20.3 ,"18/09",62.7,15.1 
"19/09 07:00",9.9 ,"19/09 15:00",21.1 ,"19/09",62.7,15.5 
"20/09 07:00",10.2 ,"20/09 15:00",20.4 ,"20/09",62.7,15.3 
"21/09 07:00",9.9 ,"21/09 15:00",21.4 ,"21/09",62.7,15.7 
"22/09 07:00",9.9 ,"22/09 15:00",20.6 ,"22/09",62.7,15.3 
"23/09 07:00",9.9 ,"23/09 15:00",19.7 ,"23/09",62.7,14.9 
"24/09 07:00",9.5 ,"24/09 15:00",19.1 ,"24/09",62.7,14.3 
"25/09 07:00",10.1 ,"25/09 15:00",18.8 ,"25/09",62.7,14.5 
"26/09 07:00",9.3 ,"26/09 15:00",18.6 ,"26/09",62.7,14
"27/09 07:00",9.1 ,"27/09 15:00",19,"27/09",62.7,14.1 
"28/09 07:00",8.5 ,"28/09 15:00",18.7 ,"28/09",62.7,13.7 
"29/09 07:00",8.3 ,"29/09 15:00",18.5 ,"29/09",62.7,13.4 
"30/09 07:00",9,"30/09 15:00",18.5 ,"30/09",62.7,13.8 
"01/10 07:00",9.5 ,"01/10 15:00",18.4 ,"01/10",71.8,13.9 
"02/10 07:00",10.2 ,"02/10 15:00",18.2 ,"02/10",71.8,14.2 
"03/10 07:00",9.6 ,"03/10 15:00",17.5 ,"03/10",71.8,13.6 
"04/10 07:00",8.8 ,"04/10 15:00",17.8 ,"04/10",71.8,13.4 
"05/10 07:00",8.6 ,"05/10 15:00",16.9 ,"05/10",71.8,12.8 
"06/10 07:00",9.3 ,"06/10 15:00",16.5 ,"06/10",71.8,12.9 
"07/10 07:00",8.4 ,"07/10 15:00",16.4 ,"07/10",71.8,12.4 
"08/10 07:00",8.3 ,"08/10 15:00",15.5 ,"08/10",71.8,11.9 
"09/10 07:00",8.3 ,"09/10 15:00",16.8 ,"09/10",71.8,12.6 
"10/10 07:00",8.4 ,"10/10 15:00",16.6 ,"10/10",71.8,12.5 
"11/10 07:00",8.2 ,"11/10 15:00",16,"11/10",71.8,12.1 
"12/10 07:00",7.9 ,"12/10 15:00",15.7 ,"12/10",71.8,11.8 
"13/10 07:00",6.6 ,"13/10 15:00",16.7 ,"13/10",71.8,11.6 
"14/10 07:00",7,"14/10 15:00",16,"14/10",71.8,11.5 
"15/10 07:00",7.8 ,"15/10 15:00",15.7 ,"15/10",71.8,11.8 
"16/10 07:00",7.5 ,"16/10 15:00",15.1 ,"16/10",71.8,11.3 
"17/10 07:00",6.7 ,"17/10 15:00",14.6 ,"17/10",71.8,10.6 
"18/10 07:00",5.3 ,"18/10 15:00",14.4 ,"18/10",71.8,9.9 
"19/10 07:00",5.6 ,"19/10 15:00",14.6 ,"19/10",71.8,10.1 
"20/10 07:00",6,"20/10 15:00",14,"20/10",71.8,10
